Signing Date,Player,Team,Signing Amount,Contract Duration (years),Annual Salary,Position,Abbreviation
1922,Babe Ruth,New York Yankees,"$210,000",3,"$70,000",Right Fielder,RF
1927,Babe Ruth,New York Yankees,"$210,000",3,"$70,000",Right Fielder,RF
1935,Lou Gehrig,New York Yankees,"$90,000",3,"$30,000",First Baseman,1B
1936,Mickey Cochrane,Detroit Tigers,"$100,000",3,"$36,000",Catcher,C
1942,Joe DiMaggio,New York Yankees,"$218,750",5,"$43,750",Center Fielder,CF
1947,Hank Greenberg,Pittsburgh Pirates,"$85,000",1,"$85,000",First Baseman,1B
1948,Joe DiMaggio,New York Yankees,"$65,000",1,"$65,000",Center Fielder,CF
1949,Joe DiMaggio,New York Yankees,"$200,000",2,"$100,000",Center Fielder,CF
1952,Ted Williams,Boston Red Sox,"$255,000",3,"$85,000",Left Fielder,LF
1954,Yogi Berra,New York Yankees,"$48,000,1,"$48,000",Catcher,C
1958,Mickey Mantle,New York Yankees,"$65,000",1,"$65,000",Center Fielder,CF
1959,Willie Mays,San Francisco Giants,"$75,000",1,"$75,000",Center Fielder,CF
1960,Willie Mays,San Francisco Giants,"$80,000",1,$80,000,Center Fielder,CF
1961,Willie Mays,San Francisco Giants,$85,000,1,"$85,000",Center Fielder,CF
1962,Mickey Mantle,New York Yankees,"$90,000",1,"$90,000",Center Fielder,CF
1963,Willie Mays,San Francisco Giants,"$315,000",3,"$105,000",Center Fielder,CF
1964,Yogi Berra,New York Mets,"$70,000",2,"$35,000",Catcher,C
1966,Carl Yastrzemski,Boston Red Sox,"$500,000",3,"$166,667",Left Fielder,LF
1972,Dick Allen,Chicago White Sox,"$675,000",3,"$225,000",First Baseman,1B
1974,Catfish Hunter,New York Yankees,"$3,750,000",5,"$750,000",Pitcher,P
1979,Rod Carew,California Angels,"$4,000,000",5,"$800,000",First Baseman,1B
1979,Nolan Ryan,Houston Astros,"$4,500,000",4,"$1,125,000",Pitcher,P
1980,Dave Winfield,New York Yankees,"$23,000,000",10,"$2,300,000",Right Fielder,RF
1985,Darryl Strawberry,New York Mets,"$5,300,000",5,"$1,060,000",Right Fielder,RF
1987,Jim Rice,Boston Red Sox,"$8,600,000",4,"$2,150,000",Left Fielder,LF
1989,Orel Hershiser,Los Angeles Dodgers,"$7,900,000",3,"$2,633,333",Pitcher,P
1989,Mark Langston,California Angels,"$16,000,000",5,"$3,200,000",Pitcher,P
1989,Mark Davis,Kansas City Royals,"$13,000,000",4,"$3,250,000",Pitcher,P
1989,Rickey Henderson,Oakland Athletics,"$4,000,000",4,"$1,000,000",Left Fielder,LF
1990,Dave Stewart,Oakland Athletics,"$3,500,000",6,"$583,333",Pitcher,P
1990,Don Mattingly,New York Yankees,"$19,300,000",5,"$3,860,000",First Baseman,1B
1990,Jose Canseco,Oakland Athletics,"$23,500,000",5,"$4,700,000",Right Fielder,RF
1991,Bret Saberhagen,New York Mets,"$15,000,000",4,"$3,750,000",Pitcher,P
1991,Bobby Bonilla,New York Mets,"$29,000,000",5,"$5,800,000",Right Fielder,RF
1992,Ryne Sandberg,Chicago Cubs,"$28,400,000",4,"$7,100,000",Second Baseman,2B
1992,Kirby Puckett,Minnesota Twins,"$30,000,000",5,"$6,000,000",Center Fielder,CF
1992,Barry Bonds,San Francisco Giants,"$43,750,000",6,"$7,291,667",Left Fielder,LF
1993,Will Clark,Texas Rangers,"$30,000,000",5,"$6,000,000",First Baseman,1B
1996,Roger Clemens,Toronto Blue Jays,"$21,500,000",4,"$5,375,000",Pitcher,P
1997,Greg Maddux,Atlanta Braves,"$57,500,000",5,"$11,500,000",Pitcher,P
1997,Pedro Martínez,Boston Red Sox,"$75,000,000",6,"$12,500,000",Pitcher,P
1998,Albert Belle,Baltimore Orioles,"$65,000,000",5,"$13,000,000",Left Fielder,LF
1998,Mike Piazza,New York Mets,"$91,000,000",7,"$13,000,000",Catcher,C
1998,Mo Vaughn,Anaheim Angels,"$80,000,000",6,"$13,333,333",First Baseman,1B
1998,Kevin Brown,Los Angeles Dodgers,"$105,000,000",7,"$15,000,000",Pitcher,P
2000,Ken Griffey Jr.,Cincinnati Reds,"$116,500,000",9,"$12,944,444",Center Fielder,CF
2000,Carlos Delgado,Toronto Blue Jays,"$68,000,000",4,"$17,000,000",First Baseman,1B
2000,Alex Rodriguez,Texas Rangers,"$252,000,000",10,"$25,200,000",Shortstop,SS
2007,Alex Rodriguez,New York Yankees,"$275,000,000",10,"$27,500,000",Third Baseman,3B
2014,Clayton Kershaw,Los Angeles Dodgers,"$215,000,000",7,"$30,714,286",Pitcher,P
2014,Miguel Cabrera,Detroit Tigers,"$248,000,000",8,"$31,000,000",First Baseman,1B
2015,Zack Greinke,Arizona Diamondbacks,"$206,500,000",6,"$34,416,667",Pitcher,P
2019,Mike Trout,Los Angeles Angels,"$426,500,000",12,"$35,541,667",Center Fielder,CF
2019,Gerrit Cole,New York Yankees,"$324,000,000",9,"$36,000,000",Pitcher,P
2021,Max Scherzer,New York Mets,"$130,000,000",3,"$43,333,333",Pitcher,P
2024,Shohei Ohtani,Los Angeles Dodgers,"$700,000,000",10,"$70,000,000",Designated Hitter / Pitcher,DH / P
